X,Y,Stop_ID,Stop_Name
-71.0846039,42.3289888,64,Nubian Station
-71.1324649,42.3556962,1113,Cambridge St & Linden St
-71.0846039,42.3289888,64000,Nubian Station
-71.1314649,42.3963639,2321,Massachusetts Ave @ Shea Rd
-71.0593809,42.3622469,8309,Surface Rd @ Hanover St
-70.9968304,42.4135781,15795,Wonderland Busway
-71.0647573,42.2989063,323,Fields Corner Busway
-71.0918606,42.3366446,17863,Ruggles Lower Busway
-71.0846039,42.3289888,64000,Nubian Station
-71.0733149,42.2845163,334,Ashmont Busway
-71.1016747,42.3234514,11531,Jackson Square Busway
-71.0918606,42.3366446,17862,Ruggles Lower Busway
-71.0733149,42.2845163,334,Ashmont Busway
-71.0918606,42.3366446,17862,Ruggles Lower Busway
-71.0846039,42.3289888,64000,Nubian Station
-71.0918606,42.3366446,17862,Ruggles Lower Busway
-71.0963017,42.2673084,1721,Blue Hills Pkwy @ River St
-71.0918606,42.3366446,17861,Ruggles Lower Busway
-71.0954883,42.2678806,18511,Mattapan South Busway
-71.0846039,42.3289888,64000,Nubian Station
-71.1146607,42.3006397,10642,Forest Hills Station
-71.0975506,42.348802,899,Kenmore Station Busway
-71.1146607,42.3006397,875,Forest Hills Station