stop_id,X,Y,Stop_ID,Stop_Name
1113,-71.1324649,42.3556962,1113,CAMBRIDGE ST & LINDEN ST
64000,-71.0864566,42.3297326,64000,NUBIAN STATION
2321,-71.1314649,42.3963639,2321,MASSACHUSETTS AVE @ SHEA RD
8309,-71.0593809,42.3622469,8309,SURFACE RD @ HANOVER ST
15795,-70.9968304,42.4135781,15795,WONDERLAND BUSWAY
323,-71.0647573,42.2989063,323,FIELDS CORNER BUSWAY
17863,-71.0918606,42.3366446,17863,RUGGLES LOWER BUSWAY
64000,-71.0864566,42.3297326,64000,NUBIAN STATION
334,-71.0733149,42.2845163,334,ASHMONT BUSWAY
11531,-71.1016747,42.3234514,11531,JACKSON SQUARE BUSWAY
17862,-71.0918606,42.3366446,17862,RUGGLES LOWER BUSWAY
334,-71.0733149,42.2845163,334,ASHMONT BUSWAY
17862,-71.0918606,42.3366446,17862,RUGGLES LOWER BUSWAY
64000,-71.0864566,42.3297326,64000,NUBIAN STATION
17862,-71.0918606,42.3366446,17862,RUGGLES LOWER BUSWAY
1721,-71.0963017,42.2673084,1721,BLUE HILLS PKWY @ RIVER ST
17861,-71.0918606,42.3366446,17861,RUGGLES UPPER BUSWAY
18511,-71.0954883,42.2678806,18511,MATTAPAN SOUTH BUSWAY
64000,-71.0864566,42.3297326,64000,NUBIAN STATION
10642,-71.1161392,42.2999344,10642,FOREST HILLS STATION UPPER BU
899,-71.0975506,42.348802,899,KENMORE STATION BUSWAY
875,-71.1161392,42.2999344,875,FOREST HILLS STATION LOWER BU